,accessFlow name,new engine name,status,comment,Column 1,Column 2
,altText,ImageDiscernible,Not Migrated,Status requires investigation,image-discernible-correctly closely relates,
,ambiguousLinks,LinkAnchorAmbiguous,Not Migrated,https://app.clickup.com/t/86bxyz3gy,might also want link-navigation-ambigious,
,ariaLabelMissuse,NameProhibitedNoAriaLabel,Migrated,,,
,articleSetup,ArticleMisuse,Migrated,,,
,backgroundImages,"BackgroundImageDiscernible, BackgroundImageDiscernibleImage",Not Migrated,https://app.clickup.com/t/86c4tf2kq,,
,breadcrumbs,"BreadcrumbsMismatch, BreadcrumbsNav",Migrated,,,
,brokenAriaLabels,VisibleTextPartOfAccessibleName,Migrated,,,
,brokenAriaReference,"AriaLabelledByHasReference, AriaDescribedByHasReference",Migrated,maybe include aria-controls-has-reference,,
,brokenList,ListItemWithinList,Migrated,,,
,brokenNavItems,MenuItemAvoid,Migrated,,,
,brokenNavTagging,"MenuAvoid, MenuBarAvoid",Migrated,,,
,brokenSubmenuIndication,MenuTriggerClickable,Migrated,,menu-trigger-mismatch looks more correct. even though its listed in auto-resolve,
,brokenTabindex,TabindexValid,Migrated,,,
,buttonLabels,ButtonDiscernible,Not Migrated,https://app.clickup.com/t/86bxya18e,doesnt exist in accessFlow db,
,buttonRoles,ButtonMismatch,Not Migrated,https://app.clickup.com/t/86c4tf3ac,potentially in clude toggle-button-mismatch,
,captcha,CaptchaAccessibleProvider,Migrated,,,
,carouselArrows,"CarouselPreviousSlideDiscernible, CarouselNextSlideDiscernibleCorrectly, CarouselPreviousSlideDiscernibleCorrectly, CarouselNextSlideDiscernible",Not Migrated,https://app.clickup.com/t/86c4tf2cc,false positives and negatives. not ready for implementation. no current timeline,
,carouselLabeling,"CarouselMismatch, CarouselDiscernible, CarouselRedundantDiscernibleText",Not Migrated,https://app.clickup.com/t/86bxt3xab,,
,carouselPagination,CarouselSlidePickerDiscernible,Not Migrated,https://app.clickup.com/t/86c1f4c4g,,
,colorContrast,ColorContrast,Partial Migrated,Commented out - need to investigate reason ,,
,columnTableHeaders,TableColumnHeader,Not Migrated,https://app.clickup.com/t/86bxy2ydx,,
,customControlField,"CheckboxDiscernible, CheckboxAriaChecked, CheckboxMismatch",Not Migrated,https://app.clickup.com/t/86bxyzevb,"radio-mismatch, radio-discernable, radio-aria-checked. file has been discussed to be added. ",
,customSelectField,"CustomSelectTriggerCombobox, CustomSelectOptionsListListbox",Not Migrated,https://app.clickup.com/t/86bxyzen5,select-option-mismatch,
,decorativeContent,IconDiscernible,Migrated,,,
,emptyHeadings,HeadingDiscernible,Migrated,,,
,emptyLinks,"LinkAnchorDiscernible, LinkNavigationDiscernible",Migrated,,,
,emptyList,ListNotEmpty,Migrated,,,
,emptyTableHeaders,TableHeaderNotEmpty,Not Migrated,Not in rules.json https://app.clickup.com/t/86bxyzdx8,,
,fakeHiddenContent,VisibilityMisuse,Not Migrated,https://app.clickup.com/t/86c4tf29x,,
,fakeHiddenInteractive,"TabbableVisible, SrHiddenTabbable",Migrated,,,
,fieldLabel,InputDiscernible,Migrated,,,
,fieldRequired,RequiredFormFieldAriaRequired,Not Migrated,https://app.clickup.com/t/86c1c4rba,,
,figureSetup,FigureDiscernible,Not Migrated,https://app.clickup.com/t/86c4tf2k6,,
,fontSizes,FontSizes,Migrated,,,
,footerLandmark,RegionFooter,Migrated,,should have region-footer-mismatch. doesnt work as well,
,headlessTables,TableHeaders,Not Migrated,https://app.clickup.com/t/86bxyzdr7,,
,hiddenVisibleContent,VisibilityMismatch,Migrated,,,
,iframeLabeling,IframeDiscernible,Migrated,,,
,incorrectMainLandmark,RegionMainContentMisuse,Not Migrated,https://app.clickup.com/t/86c4tej6h,doesn't work that well. theres also main-content-mismatch,
,keyboardNavigation,InteractiveNotTabbable,Migrated,,,
,languageReport,"HtmlLangValid, HtmlLang",Migrated,,,
,letterSpacing,LetterSpacingPositive,Not Migrated,https://app.clickup.com/t/86bxz067r,,
,linkContext,LinkContext,Not Migrated,https://app.clickup.com/t/86c4tf2m8,,context
,liveCarousels,CarouselAriaLive,Not Migrated,https://app.clickup.com/t/86c1ewcqp,carousel classification isnt very stable. widget doesn't use it atm,
,loadAutofocus,NoAutofocus,Migrated,,,
,longHeadings,HeadingLengthy,Migrated,,,
,mainHeading,HeadingH1,Migrated,,,
,mainLandmark,RegionMainContent,Migrated,,,
,marquee,MarqueeDeprecated,Migrated,,,
,missingFormButton,FormSubmitButtonMismatch,Migrated,,this rule is actually different. and checks if theres a mismatch,
,missingNavItems,NavigationItemLink,Migrated,,,
,misusedNavTagging,NavigationMisuse,Migrated,,,
,multiMainLandmarks,RegionMainContentSingle,Migrated,,,
,multipleMainHeadings,HeadingSingleH1,Migrated,,,
,navigationTagging,"NavigationMismatch, NavigationDiscernible",Not Migrated,https://app.clickup.com/t/86bxyh8pf,this could be two rules,context
,nestedNavigation,NavigationNotNested,Migrated,,,
,nestedTables,TableNotNested,Migrated,,,
,newWindowLinks,LinkNewWindowWarning,Migrated,,,
,noninteractiveTabindex,TabbableNonInteractive,Migrated,,,
,noticeableFocus,FocusNoticeable,Not Migrated,https://app.clickup.com/t/86bxyz8zh,,selector is the report key 
,pageTitle,"PageTitle, PageTitleValid",Migrated,,,
,popupFocus,DialogModalFocus,Migrated,,,
,popupTagging,DialogModalMismatch,Not Migrated,https://app.clickup.com/t/86bxz03n0,,
,redundantAriaLabels,RedundantDiscernibleContent,Not Migrated,https://app.clickup.com/t/86bxpayrg,,doesnt exist in code. only db
,roleApplications,NoRoleApplication,Migrated,,,
,rowTableHeaders,TableRowHeader,Migrated,,,
,salePrices,SalePriceDiscernible,Partial Migrated,Commented out - https://app.clickup.com/t/86c4tejja,,
,searchFormTagging,SearchFormMismatch,Migrated,,,
,skipLinks,SkipLinkExists,Migrated,,should include skip-link-first,
,submenuState,MenuTriggerCorrectState,Migrated,,,
,submenuTagging,NavigationSubMenuRegion ,Not Migrated,https://app.clickup.com/t/86bxt439r,,
,submenuTriggerTagging,MenuTriggerMismatch,Not Migrated,https://app.clickup.com/t/86bxyzacd,,
,svgContent,SvgDiscernible,Migrated,,,
,tableLayouts,TableMisuse,Migrated,,,
,titleMisuse,NoExtraInformationInTitle,Not Migrated,https://app.clickup.com/t/86bxrfh5z,,
,untaggedHeadings,HeadingMismatch,Migrated,,,
,userRating,UserRatingDiscernible,Not Migrated,https://app.clickup.com/t/86c4tek7w,,context
,viewportScalability,"PageMetaViewportValid, PageMetaViewport",Migrated,,,